dataset,task,circuits,median_ratio,q25_ratio,q75_ratio,median_reduction_factor
floquet,local_z,16,0.01872944066018731,0.01311271741585724,0.05489773950484392,53.93177126341866
floquet,local_transverse,16,0.07804383843811571,0.03330077257792381,0.10417539927629835,13.342583732057417
floquet,hamiltonian_terms,16,0.1102314234203974,0.06518636794571128,0.1348993116859855,9.090061432067394
mqt_core,local_z,13,0.22076215505913274,0.12913640032284102,0.4745762711864407,4.529761904761904
mqt_core,local_transverse,13,0.6681222707423581,0.5383411580594679,0.8042049934296978,1.4967320261437909
mqt_core,hamiltonian_terms,13,0.8617176128093158,0.7661971830985915,0.9195402298850575,1.160472972972973
random,local_z,20,0.1276013335672925,0.07394957983193277,0.18795180722891566,7.890625
random,local_transverse,20,0.20973730989531897,0.11770334928229663,0.2953846153846154,4.767869971264368
random,hamiltonian_terms,20,0.27422451711608337,0.15948963317384368,0.34972677595628415,3.646647135416667
