model,n_qubits,periods,task,task_p2,exp_task_p2,k90,terminal_support,collision_mean,labels_requested,labels_used,capped_labels,avg_terminal_terms,max_terminal_terms
commuting,8,0,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
commuting,8,0,local_transverse,-0.0,1.0,15,16,1.0,16,16,0,1.0,1
commuting,8,0,hamiltonian_terms,-0.0,1.0,19,21,1.0,21,21,0,1.0,1
commuting,8,0,all_pauli,-0.0,1.0,22,24,1.0,24,24,0,1.0,1
commuting,8,1,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
commuting,8,1,local_transverse,0.6931471805599453,2.0,15,16,0.5,16,16,0,2.0,2
commuting,8,1,hamiltonian_terms,0.6931471805599453,2.0,31,35,0.5,21,21,0,3.0,4
commuting,8,1,all_pauli,2.230991439807037,9.309090909090909,333,486,0.107421875,24,24,0,20.25,64
commuting,8,2,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
commuting,8,2,local_transverse,-0.0,1.0,15,16,1.0,16,16,0,1.0,1
commuting,8,2,hamiltonian_terms,-0.0,1.0,19,21,1.0,21,21,0,1.0,1
commuting,8,2,all_pauli,-0.0,1.0,22,24,1.0,24,24,0,1.0,1
commuting,8,3,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
commuting,8,3,local_transverse,0.6931471805599453,2.0,15,16,0.5,16,16,0,2.0,2
commuting,8,3,hamiltonian_terms,0.6931471805599453,2.0,31,35,0.5,21,21,0,3.0,4
commuting,8,3,all_pauli,2.237070485883419,9.365853658536587,342,482,0.10677083333333333,24,24,0,20.083333333333332,64
commuting,8,4,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
commuting,8,4,local_transverse,-0.0,1.0,15,16,1.0,16,16,0,1.0,1
commuting,8,4,hamiltonian_terms,-0.0,1.0,19,21,1.0,21,21,0,1.0,1
commuting,8,4,all_pauli,-0.0,1.0,22,24,1.0,24,24,0,1.0,1
scrambling,8,0,local_z,-0.0,1.0,8,8,1.0,8,8,0,1.0,1
scrambling,8,0,local_transverse,-0.0,1.0,15,16,1.0,16,16,0,1.0,1
scrambling,8,0,hamiltonian_terms,-0.0,1.0,19,21,1.0,21,21,0,1.0,1
scrambling,8,0,all_pauli,-0.0,1.0,22,24,1.0,24,24,0,1.0,1
scrambling,8,1,local_z,0.6931471805599453,2.0,15,16,0.5,8,8,0,2.0,2
scrambling,8,1,local_transverse,0.2876820724517809,1.3333333333333333,21,24,0.75,16,16,0,1.5,2
scrambling,8,1,hamiltonian_terms,0.6931471805599453,2.0,31,35,0.5,21,21,0,3.0,4
scrambling,8,1,all_pauli,2.240123923370309,9.394495412844037,318,522,0.1064453125,24,24,0,21.75,128
scrambling,8,2,local_z,2.1439800628174073,8.533333333333335,72,84,0.11718749999999999,8,8,0,10.5,12
scrambling,8,2,local_transverse,1.175729592012541,3.240506329113924,75,100,0.30859375,16,16,0,6.25,12
scrambling,8,2,hamiltonian_terms,2.1762409250356285,8.813114754098361,177,244,0.1134672619047619,21,21,0,21.904761904761905,36
scrambling,8,2,all_pauli,4.86436648011682,129.58881550998336,7239,14076,0.00771671533584595,24,24,0,828.0,4374
scrambling,8,3,local_z,3.29718054176992,27.036303630363037,291,588,0.0369873046875,8,8,0,73.5,108
scrambling,8,3,local_transverse,2.562815405488743,12.972288202692003,272,648,0.07708740234375,16,16,0,42.0,108
scrambling,8,3,hamiltonian_terms,3.7539296388671075,42.688503233610945,986,1752,0.023425510951450894,21,21,0,163.42857142857142,360
scrambling,8,3,all_pauli,6.427542394395646,618.6516763802379,24844,46402,0.0016164184761464648,24,24,0,7006.958333333333,36297
scrambling,8,4,local_z,4.653596081766765,104.96175878442628,2041,4548,0.009527279378519476,8,8,0,568.5,1260
scrambling,8,4,local_transverse,3.7615443882884962,43.01480627013244,1723,4812,0.023247808992094783,16,16,0,321.0,1260
scrambling,8,4,hamiltonian_terms,5.09189868584224,162.69848227920528,4968,12336,0.006146338834826436,21,21,0,1201.142857142857,4500
scrambling,8,4,all_pauli,8.25962373328306,3864.6396915864725,47995,65166,0.0002587563343038301,24,24,0,31863.791666666668,55293
