n_qubits,layers,t_density,expected_t_gates,task,task_p2_mean,task_p2_sem_over_circuits,labels_requested,labels_used,capped_labels,avg_terminal_terms,max_terminal_terms
8,5,0.0,0.0,local_z,0.0,0.0,160,160,0,1.0,1
8,5,0.0,0.0,local_transverse,0.0,0.0,320,320,0,1.0,1
8,5,0.0,0.0,hamiltonian_terms,0.0,0.0,420,420,0,1.0,1
8,5,0.0,0.0,random_local,0.0,0.0,480,480,0,1.0,1
8,5,0.0,0.0,transported_local_z,0.0,0.0,160,160,0,1.0,1
8,5,0.0,0.0,full_transverse,0.0,0.0,480,480,0,1.0,1
8,5,0.0,0.0,all_pauli,0.0,0.0,480,480,0,1.0,1
8,5,0.1,4.0,local_z,0.23287270103118435,0.040175206571354906,160,160,0,1.51875,8
8,5,0.1,4.0,local_transverse,0.4436621296342237,0.05149708068534904,320,320,0,2.225,18
8,5,0.1,4.0,hamiltonian_terms,0.47241622316722476,0.051496404999976236,420,420,0,2.447619047619048,24
8,5,0.1,4.0,random_local,0.44100998132308045,0.05609913742854192,480,480,0,2.327083333333333,20
8,5,0.1,4.0,transported_local_z,0.386590861771423,0.05630388330911405,160,160,0,2.19375,20
8,5,0.1,4.0,full_transverse,1.5475781398372,0.12797910382130798,480,480,0,7.133333333333333,48
8,5,0.1,4.0,all_pauli,1.0821976297786555,0.09473701955379611,480,480,0,5.308333333333333,48
8,5,0.2,8.0,local_z,0.5166451751567506,0.06957190466370593,160,160,0,2.3625,16
8,5,0.2,8.0,local_transverse,0.8723625770861576,0.06794317502246548,320,320,0,4.05,24
8,5,0.2,8.0,hamiltonian_terms,0.9388212838989289,0.06225516667627487,420,420,0,5.338095238095238,72
8,5,0.2,8.0,random_local,0.9773170209384121,0.06059010740713748,480,480,0,5.410416666666666,96
8,5,0.2,8.0,transported_local_z,0.9500743627463288,0.07067920671302405,160,160,0,4.7625,32
8,5,0.2,8.0,full_transverse,3.152431188700854,0.21158603036598814,480,480,0,57.485416666666666,432
8,5,0.2,8.0,all_pauli,2.0999462366835777,0.14027590938874077,480,480,0,26.041666666666668,432
8,5,0.3,12.0,local_z,0.7680558932297277,0.09648668932251885,160,160,0,4.19375,32
8,5,0.3,12.0,local_transverse,1.1898934325046502,0.10829618357343748,320,320,0,10.075,208
8,5,0.3,12.0,hamiltonian_terms,1.221994055590446,0.10973764494310166,420,420,0,14.307142857142855,364
8,5,0.3,12.0,random_local,1.3070029249128678,0.10983172253965663,480,480,0,15.072916666666666,384
8,5,0.3,12.0,transported_local_z,1.098620568051713,0.09669990421200689,160,160,0,9.425,72
8,5,0.3,12.0,full_transverse,3.7738058266563383,0.2739744406264313,480,480,0,170.60625,1062
8,5,0.3,12.0,all_pauli,2.80792854730769,0.18321763649656758,480,480,0,85.00416666666665,1494
10,5,0.0,0.0,local_z,0.0,0.0,200,200,0,1.0,1
10,5,0.0,0.0,local_transverse,0.0,0.0,400,400,0,1.0,1
10,5,0.0,0.0,hamiltonian_terms,0.0,0.0,540,540,0,1.0,1
10,5,0.0,0.0,random_local,0.0,0.0,440,440,0,1.0,1
10,5,0.0,0.0,transported_local_z,0.0,0.0,200,200,0,1.0,1
10,5,0.0,0.0,full_transverse,0.0,0.0,440,440,0,1.0,1
10,5,0.0,0.0,all_pauli,0.0,0.0,440,440,0,1.0,1
10,5,0.1,5.0,local_z,0.3424581685741402,0.05279767494755941,200,200,0,1.935,12
10,5,0.1,5.0,local_transverse,0.5356765615125303,0.05549524026847417,400,400,0,2.6350000000000002,16
10,5,0.1,5.0,hamiltonian_terms,0.6315491849634214,0.06447501503709907,540,540,0,3.3203703703703704,24
10,5,0.1,5.0,random_local,0.5917005069363146,0.06234510856417127,440,440,0,3.1954545454545453,24
10,5,0.1,5.0,transported_local_z,0.5582892696841963,0.07994027924917868,200,200,0,2.7700000000000005,16
10,5,0.1,5.0,full_transverse,2.15323838823518,0.1848772433788394,440,440,0,17.46590909090909,96
10,5,0.1,5.0,all_pauli,1.465340211336647,0.10859480386938462,440,440,0,9.53409090909091,76
10,5,0.2,10.0,local_z,0.5674157404291136,0.04561295903000824,200,200,0,3.215,24
10,5,0.2,10.0,local_transverse,1.0011704199608191,0.07371311700618759,400,400,0,6.777500000000001,72
10,5,0.2,10.0,hamiltonian_terms,1.0709003508478625,0.06917810635124623,540,540,0,9.705555555555556,384
10,5,0.2,10.0,random_local,1.051999108821409,0.08287510728997073,440,440,0,11.034090909090908,540
10,5,0.2,10.0,transported_local_z,1.1061448527417705,0.06522212346469146,200,200,0,9.334999999999999,192
10,5,0.2,10.0,full_transverse,3.6232255721777245,0.2962675038563767,440,440,0,227.3,3600
10,5,0.2,10.0,all_pauli,2.731629980597001,0.1897200204169224,440,440,0,79.08181818181816,1440
10,5,0.3,15.0,local_z,0.6101042358193327,0.04177946879046568,200,200,0,3.6,96
10,5,0.3,15.0,local_transverse,1.136746270007823,0.07625203189426767,400,400,0,9.0075,192
10,5,0.3,15.0,hamiltonian_terms,1.1588533737119266,0.06594514383075997,540,540,0,10.55,384
10,5,0.3,15.0,random_local,1.1365477206554169,0.0602649883735226,440,440,0,13.809090909090912,648
10,5,0.3,15.0,transported_local_z,1.0588441888811602,0.07446377832343717,200,200,0,8.68,162
10,5,0.3,15.0,full_transverse,4.0704842212018635,0.2739910153918157,440,440,0,274.1886363636363,2952
10,5,0.3,15.0,all_pauli,3.1421967938432265,0.19290384424381693,440,440,0,126.80909090909093,2304
12,4,0.0,0.0,local_z,0.0,0.0,240,240,0,1.0,1
12,4,0.0,0.0,local_transverse,0.0,0.0,480,480,0,1.0,1
12,4,0.0,0.0,hamiltonian_terms,0.0,0.0,660,660,0,1.0,1
12,4,0.0,0.0,random_local,0.0,0.0,400,400,0,1.0,1
12,4,0.0,0.0,transported_local_z,0.0,0.0,240,240,0,1.0,1
12,4,0.0,0.0,full_transverse,0.0,0.0,400,400,0,1.0,1
12,4,0.0,0.0,all_pauli,0.0,0.0,400,400,0,1.0,1
12,4,0.1,4.800000000000001,local_z,0.12277735342907589,0.02753967806038295,240,240,0,1.3125,8
12,4,0.1,4.800000000000001,local_transverse,0.2751764944803277,0.03907500404250131,480,480,0,1.7208333333333332,9
12,4,0.1,4.800000000000001,hamiltonian_terms,0.2900900325096115,0.03950827259767814,660,660,0,1.777272727272727,14
12,4,0.1,4.800000000000001,random_local,0.33929585928724526,0.0528084198224596,400,400,0,1.8925,12
12,4,0.1,4.800000000000001,transported_local_z,0.2598785848519667,0.03256539257120427,240,240,0,1.6125,8
12,4,0.1,4.800000000000001,full_transverse,1.5552257600272066,0.18428788385508763,400,400,0,9.23,72
12,4,0.1,4.800000000000001,all_pauli,1.0926933363480706,0.11568174314442278,400,400,0,5.5775,48
12,4,0.2,9.600000000000001,local_z,0.2837183682112055,0.022708420680574676,240,240,0,1.75,10
12,4,0.2,9.600000000000001,local_transverse,0.6285679002729597,0.029425487398211173,480,480,0,2.9770833333333337,24
12,4,0.2,9.600000000000001,hamiltonian_terms,0.6555345408047855,0.031854129434371374,660,660,0,3.4984848484848485,24
12,4,0.2,9.600000000000001,random_local,0.6558788175308854,0.04783905695081426,400,400,0,3.6050000000000004,40
12,4,0.2,9.600000000000001,transported_local_z,0.608296748280863,0.04981652025934483,240,240,0,3.041666666666667,24
12,4,0.2,9.600000000000001,full_transverse,3.4224048621269745,0.276499404074667,400,400,0,109.38250000000001,896
12,4,0.2,9.600000000000001,all_pauli,2.334624267034946,0.1403815687744817,400,400,0,34.900000000000006,624
12,4,0.3,14.399999999999999,local_z,0.4995280055267578,0.042143983885304194,240,240,0,2.4958333333333336,16
12,4,0.3,14.399999999999999,local_transverse,1.0028577798762826,0.06017385655250991,480,480,0,5.0625,36
12,4,0.3,14.399999999999999,hamiltonian_terms,1.0376701338356513,0.059873391570682805,660,660,0,6.859090909090909,108
12,4,0.3,14.399999999999999,random_local,0.9951013864539808,0.048209741459292924,400,400,0,7.5525,192
12,4,0.3,14.399999999999999,transported_local_z,0.8774801556570792,0.057022198663809615,240,240,0,5.391666666666666,64
12,4,0.3,14.399999999999999,full_transverse,4.711099490576394,0.3538883296429034,400,400,0,639.095,6912
12,4,0.3,14.399999999999999,all_pauli,3.4527842108301696,0.2090061222974138,400,400,0,183.2475,2304
