n_qubits,layers,t_density,expected_t_gates,p2_mean,p2_std_over_circuits,p2_per_expected_t,linear_reference,samples_requested,samples_used,capped_samples,avg_terminal_terms,max_terminal_terms,avg_active_splits
8,10,0.0,0.0,0.0,0.0,0.0,0.0,640,640,0,1.0,1,0.0
8,10,0.05,4.0,1.3498214276708653,0.5173827388422899,0.33745535691771633,1.1507282898071234,640,640,0,8.528125,56,14.053125
8,10,0.1,8.0,1.9174460878566455,0.6467976050695264,0.2396807609820807,2.3014565796142468,640,640,0,20.5125,216,24.0453125
8,10,0.15,12.0,3.3061812821095096,0.7936788417236865,0.2755151068424591,3.4521848694213704,640,640,0,215.83437500000002,3771,222.1859375
8,10,0.2,16.0,3.3940354000797575,0.7871401992439941,0.21212721250498484,4.6029131592284935,640,640,0,192.1671875,1560,238.25625000000002
8,10,0.3,24.0,5.565313198694408,0.7892632983836363,0.23188804994560033,6.904369738842741,640,640,0,2996.5015625,23184,5340.009375
8,10,0.4,32.0,5.762966854090495,0.5325051938774488,0.18009271419032796,9.205826318456987,640,640,0,3423.2671874999996,18906,9725.959375
12,8,0.0,0.0,0.0,0.0,0.0,0.0,560,560,0,1.0,1,0.0
12,8,0.05,4.800000000000001,2.1193488072650397,0.7531911649717888,0.44153100151354985,1.3808739477685483,560,560,0,31.70357142857143,432,30.70357142857143
12,8,0.1,9.600000000000001,2.0375050275157194,0.4390373053310505,0.2122401070328874,2.7617478955370967,560,560,0,21.764285714285712,216,28.28571428571429
12,8,0.15,14.399999999999999,3.426137486128863,0.6356648438967272,0.23792621431450442,4.142621843305644,560,560,0,214.7910714285714,5152,342.73571428571427
12,8,0.2,19.200000000000003,4.514061985578392,1.4644037378452883,0.23510739508220788,5.523495791074193,560,560,0,3893.335714285714,94230,5649.1160714285725
12,8,0.3,28.799999999999997,6.292854156334478,0.7798542402273096,0.2185018804282805,8.285243686611288,560,560,0,11461.498214285713,137376,21857.757142857143
12,8,0.4,38.400000000000006,7.629417841898502,1.370068304931213,0.19868275629944013,11.046991582148387,560,433,127,57100.848733019855,246186,151391.44952604867
16,6,0.0,0.0,0.0,0.0,0.0,0.0,480,480,0,1.0,1,0.0
16,6,0.05,4.800000000000001,1.3305406024786985,0.6983387850489869,0.2771959588497288,1.3808739477685483,480,480,0,11.114583333333332,144,10.114583333333332
16,6,0.1,9.600000000000001,2.5213305181259322,0.638818965738405,0.2626385956381179,2.7617478955370967,480,480,0,42.75,1024,62.54375
16,6,0.15,14.399999999999999,3.8876690801915164,0.9264256215680841,0.2699770194577442,4.142621843305644,480,480,0,370.56874999999997,7200,519.8625
16,6,0.2,19.200000000000003,4.65526839088009,1.4565354748801826,0.24246189535833795,5.523495791074193,480,480,0,2044.5916666666665,64152,3308.0375
16,6,0.3,28.799999999999997,6.220851363334413,1.3513203052444023,0.21600178344911158,8.285243686611288,480,475,5,12785.902285238302,233280,16429.382477727075
16,6,0.4,38.400000000000006,8.257794751539539,0.7024777136012387,0.21504673832134213,11.046991582148387,480,369,111,61359.9539669863,239040,104589.52686564042
